business_name,city,state,website,phone,organic_signals,tier_estimate,source
"Midwest Trading Horticultural Supplies",Virgil,IL,https://www.midwest-trading.com,,(630) 365-1990,"Major wholesale supplier serving IL/IN/IA/MI/MN/MO/NE/OH/WI; customized greenhouse and nursery mixes; bulk and bag; Great Plants Start with Great Soil; Blended Organic Bark product",A,Google Search / BioWorks listing
"Renewed Earth",Kalamazoo,MI,https://renewedearth.com,,"Michigan's largest custom potting soil blender; 25 years serving nurseries/suppliers/commercial growers; custom growing media including organic blends",A,Google Search
"Cowsmo Compost",Multiple,WI,https://www.cowsmocompost.com,,"OMRI-listed organic potting soils (Blue/Green/Red/Red Plus mixes); wholesale/bulk/bagged formats; potting mix with peat/compost/perlite; organic fertilizer blend",A,Google Search
"Lucy's Soil (Beautiful Land Products)",West Branch,IA,https://beautifullandproducts.com,,"Iowa potting mixes locally prepared/mixed/bagged; wholesale quantities; supplies organic farmers/greenhouses/nurseries across Midwest",A,Google Search
"Kristy K Organics",Multiple,MN,https://www.kristykorganics.com,,"Wholesale organic soil; custom greenhouse and nursery mixes; private label options; organic matter & microbes",A,Google Search
"Return LLC",Stewartville,MN,https://www.returnco.com,,"Minnesota-based family-owned; organic fertilizers & amendments; compost/turkey litter/potting mix; agricultural supply",A,Google Search
"Big Lake Organics",Multiple,WI/MN,https://biglakeorganics.com,,"Premium Grade A STA Certified compost; potting mixes; high-quality mulch; fortified with biochar; teaming with microbes",A,Google Search
"Hsu Growing Supply",Wausau,WI,https://www.hsugrowingsupply.com,(715) 675-5856,"4.9 stars; topsoil supplier; great soil/mulch; reasonable cost; quality product for gardens",B,Google Local Results
"Busy Bee Compost",Mosinee,WI,https://busybeecompost.com,(920) 918-9539,"4.4 stars; one of few organic produced compost in midwest; agricultural service",B,Google Local Results
"Sylva Corp",Multiple,MN,https://www.sylvacorp.com,,"Gardenrich Potting Soil; premium blend organic matter/native soil/peat moss",B,Google Search
"Plaisted Companies",Elk River,MN,https://plaistedcompanies.com,,"Pulverized/Organic Compost Mix; delivery in Minnesota",B,Google Search
